country,ccode,year,month,dates,elecViolence1,l.elecViolence1,elecViolence2,l.elecViolence2,tae1,nvio1,tae2,nvio2,pcgdp,growth,logIMR,logpredict,SPI,lnpop2,political_violence,gov_democracy,gov_interim,logtenure,dem_duration,regav_dem,regav_pcgdp,regav_IMR,regav_growth,gdpdiff,del_reggdp,del_regten,del_regdem,growthdiff,del_reggrow
Papua New Guinea,910,1977,6,6/18/1977,peace,0,peace,0,1,0,1,0,984.7174683,1.05805397,4.412798405,0.004534224,-0.506117721,63.35007095,-0.361005604,1,0,3.135494232,1.041453838,0.823466806,1619.898926,4.013426213,1.101281389,0.607888222,0.092939936,0.11616917,-0.012675713,0.960748076,0.039339013
Mongolia,712,1977,6,6/19/1977,peace,0,peace,0,1,0,1,0,1332.782104,1.092275739,4.835951805,0.002025187,0.514671926,54.11842346,-0.361005604,0,0,5.726847649,0,0.823466806,1619.898926,4.013426213,1.101281389,0.82275635,0.092939936,0.11616917,-0.012675713,0.9918226,0.039339013
Madagascar,580,1977,6,6/30/1977,peace,0,peace,0,1,0,1,0,293.9173279,1.05078733,4.623991966,0.007907069,-0.792333058,80.62115479,-0.361005604,0,0,3.258096457,0,0.059151762,708.2682495,4.719289215,1.098832694,0.414980233,0.108845212,0.122917518,0.016161025,0.956276,0.057894591
Japan,740,1977,7,7/10/1977,peace,0,peace,0,2,0,2,0,6661.967773,1.281550407,2.174751759,0.000467617,0.101913818,135.3914032,-0.35492,1,0,2.197224617,3.305053473,0.877936357,1537.598389,4.039029906,1.100727808,4.332709789,0.059690285,0.040119428,0.038380276,1.164275527,0.038785432
Sri Lanka,780,1977,7,7/21/1977,vio,1,vio,1,1,0,1,0,335.8385925,1.086041927,3.819907665,0.017551271,-0.036954146,91.58251953,-0.361005604,1,0,0.693147182,3.384390354,0.877936357,1537.598389,4.039029906,1.100727808,0.21841763,0.059690285,0.040119428,0.038380276,0.986658037,0.038785432
Sri Lanka,780,1977,7,7/21/1977,vio,1,vio,1,1,0,1,0,335.8385925,1.086041927,3.819907665,0.009922447,-0.036954146,91.58251953,-0.361005604,1,0,4.477336884,3.384390354,0.877936357,1537.598389,4.039029906,1.100727808,0.21841763,0.059690285,0.040119428,0.038380276,0.986658037,0.038785432
Syria,652,1977,8,8/1/1977,peace,1,peace,1,1,0,1,0,928.1365356,0.974916875,3.987130404,0.007706216,-0.261459941,80.90630341,-0.345791578,0,0,4.382026672,0,0.34683044,5517.126953,4.274364534,1.102792014,0.168228239,0.100603573,-0.065093145,-0.163440719,0.88404417,-0.018577278
Zimbabwe,552,1977,8,8/31/1977,peace,0,peace,0,1,0,1,0,800.3891602,0.978998899,4.245634079,0.006389603,0.274697702,77.30179596,4.945233345,0,0,4.962844849,0,0.043597275,698.5025635,4.732878313,1.096295228,1.145864367,0.098656237,0.124419212,-0.001360384,0.893006623,0.055357125
Norway,385,1977,9,9/11/1977,peace,0,peace,0,1,0,1,0,10249.17676,1.149982095,2.230014324,0.000346232,-1.050183219,68.97466278,-0.361005604,1,0,3.091042519,4.53974247,2.162838239,5971.33252,2.87476012,1.119438161,1.716396928,0.111440435,0.077851243,0.066494316,1.027285099,0.048149645
Fiji,950,1977,9,9/17/1977,peace,0,peace,0,2,0,2,0,1306.311646,1.017371774,3.676300764,0.001861418,0.169383219,40.90577698,-0.361005604,0,0,4.442651272,0,0.827796021,1619.898926,4.013426213,1.101281389,0.806415498,0.092939936,0.061537851,-0.018265689,0.923807263,0.039339013
Democratic Republic of Congo,490,1977,10,10/15/1977,peace,0,peace,0,2,0,2,0,2430.376953,1.243068337,4.920710564,0.011236078,0.310528938,102.3381653,-0.361005604,0,0,4.976733685,0,0.043889263,698.5025635,4.732878313,1.096295228,3.479410172,0.098656237,0.119902901,-0.002824762,1.133880973,0.055357125
Suriname,115,1977,10,10/31/1977,peace,0,peace,0,0,0,0,0,674.4863892,1.095249772,4.020123482,0.004782184,0.343078123,34.78387451,-0.361005604,0,0,3.218875885,0,1.059509194,2198.041016,3.89069472,1.125034127,0.306857973,0.112792373,0.128208295,0.020465374,0.973525822,0.011988867
North Korea,731,1977,11,11/11/1977,peace,0,peace,0,1,0,1,0,248.9598389,1.071130395,3.545628548,0.00982607,-1.575902263,94.78078461,-0.361005604,0,0,5.863631248,0,0.798561222,1582.766235,4.011691599,1.102677844,0.157294124,0.092538722,0.026017718,-0.014327936,0.971390128,0.040735468
Greece,350,1977,11,11/20/1977,peace,0,peace,0,1,0,1,0,3922.410889,1.146238685,3.254242897,0.006949735,-1.499745157,83.45035553,-0.318406343,1,0,3.737669706,1.466337085,2.171594588,5971.33252,2.87476012,1.119438161,0.656873643,0.111440435,0.073033161,0.061737247,1.02394104,0.048149645
South Africa,560,1977,11,11/30/1977,vio,0,vio,0,2,0,2,0,1507.500732,1.083580852,4.364371777,0.001504698,0.699453392,104.1212921,-0.222264022,0,0,4.912654877,0,0.044033558,698.5025635,4.732878313,1.096295228,2.158189297,0.125624374,0.110036455,-0.002437117,0.988402426,0.05525836
Mozambique,541,1977,12,12/1/1977,vio,0,vio,0,1,0,1,0,381.7528076,1.040061235,5.172754288,0.007040414,0.15125765,86.95715332,-0.361005604,0,0,3.465735912,0,0.044176729,698.5025635,4.732878313,1.096295228,0.546530306,0.098656237,0.115750588,-0.004128968,0.948705435,0.055357125
Democratic Republic of Congo,490,1977,12,12/3/1977,peace,0,peace,0,3,0,3,0,2430.376953,1.243068337,4.920710564,0.009979517,0.284994447,102.3381653,-0.361005604,0,0,4.990432739,0,0.044176729,698.5025635,4.732878313,1.096295228,3.479410172,0.098656237,0.115750588,-0.004128968,1.133880973,0.055357125
Australia,900,1977,12,12/10/1977,peace,0,peace,0,2,0,2,0,8368.371094,1.038562417,2.541601896,0.001558213,-0.113447533,91.4515686,-0.361005604,1,0,3.295836926,4.342722416,0.83190976,1619.898926,4.013426213,1.101281389,5.165983677,-0.015198717,0.063559406,-0.096658126,0.943049073,0.039671231
